,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,HS8,Exporters,Exported value in 2017-M03,Exported value in 2017-M04,Exported value in 2017-M05,Exported value in 2017-M06,Exported value in 2017-M07,Exported value in 2017-M08,Exported value in 2017-M09,Exported value in 2017-M10,Exported value in 2017-M11,Exported value in 2017-M12,Exported value in 2018-M01,Exported value in 2018-M02,Exported value in 2018-M03,Exported value in 2018-M04,Exported value in 2018-M05,Exported value in 2018-M06,Exported value in 2018-M07,Exported value in 2018-M08,Exported value in 2018-M09,Exported value in 2018-M10
1,,France,6651,5404,5859,5347,5316,6076,7542,7391,7003,9730,7269,6896,8336,6706,6369,6370,6322,6959,6956,8669
2,,Russian Federation,3053,2908,3346,2262,2208,2437,2285,2638,3105,2469,2558,2126,3031,2814,2553,2059,2455,1951,1545,3077
3,,United States of America,3011,2825,3376,4518,3086,2823,2062,2340,2173,1583,1951,1726,1848,2424,2364,2021,1527,2284,2171,1918
4,,Portugal,3058,3024,3275,4346,3507,2152,1761,2789,3472,3186,3656,3201,4067,2975,2725,1934,1285,1051,1297,1696
5,,Greece,1079,807,829,1035,1015,510,521,473,872,378,466,815,904,996,1097,1204,761,794,917,1169
6,,Ireland,1159,779,756,1206,1418,1575,1284,1007,1020,1475,915,884,937,1088,833,1846,1035,879,1031,1004
7,,Czech Republic,694,556,618,653,653,636,658,650,668,685,592,652,1267,905,758,732,699,685,662,692
8,,South Africa,43,76,56,79,67,49,65,51,77,47,80,119,60,83,111,58,77,280,439,608
9,,Latvia,139,181,149,133,142,186,173,263,260,230,228,263,296,281,294,273,256,152,280,277
10,,United Kingdom,684,696,808,792,365,288,508,349,275,526,349,270,303,258,412,228,237,214,233,216
11,,Lithuania,232,302,221,384,376,259,56,86,105,149,71,61,68,67,100,134,105,104,100,104
12,,Estonia,73,42,43,44,75,66,50,57,60,64,48,51,56,47,46,43,44,52,39,63
13,,Australia,27,22,37,91,12,18,45,137,42,53,47,38,55,65,86,36,51,59,19,41
14,,Turkey,595,269,1,76,70,53,32,11,47,126,18,43,25,19,23,92,14,2,9,19
15,,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16,,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,116,319,145,319,290,0,0
17,,Switzerland,0,0,47,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
18,,Thailand,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,,Norway,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,Pakistan,0,0,0,19,23,44,59,48,27,15,11,16,162,0,0,0,,,,
21,,Peru,18,0,0,0,0,0,6,0,0,20,14,0,0,,,,,,,
22,,Poland,8745,7803,10090,10487,10328,10999,11935,12831,10838,9236,13244,13143,13580,12480,13219,13659,12759,11307,9537,
23,,Serbia,212,227,233,237,258,258,220,231,226,193,186,201,266,300,289,272,336,286,258,
24,,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
25,,Slovakia,174,165,206,498,116,432,619,295,151,179,229,311,418,292,287,181,186,134,221,
26,,Slovenia,447,342,478,485,414,506,374,375,254,340,327,337,367,380,424,451,410,359,328,
27,,Romania,898,476,617,195,599,171,87,204,133,454,1090,481,842,686,592,517,1207,1372,1069,
28,,Spain,4970,3725,2861,2478,2554,2516,3392,4482,3108,2690,3031,2216,2715,2922,3995,3147,2723,2936,3726,
29,,Swaziland,0,0,0,3,0,0,0,0,0,3,0,3,4,2,,,,,,
30,,Sweden,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
31,,Uganda,0,0,0,0,0,0,0,13,25,10,1,0,0,1,0,2,0,0,0,
32,,Argentina,4,0,0,0,11,12,12,4,0,0,9,0,0,0,0,0,0,0,,
33,,Germany,1151,1593,1823,1251,1380,1834,2032,1701,1513,1191,1349,1227,1458,1400,1315,637,1363,641,728,
34,,Fiji,1,0,0,0,0,3,0,0,2,0,0,1,0,0,,,,,,
35,,Denmark,93,110,83,122,81,109,130,131,310,349,66,52,50,91,85,58,123,37,127,
36,,Dominican Republic,595,404,472,456,489,273,2,2,1,2,8,19,12,,,,,,,
37,,El Salvador,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
38,,Bulgaria,1846,1656,2225,2312,2189,2304,2253,2151,1894,1773,1906,1767,2032,1936,2476,2145,1997,1926,1938,
39,,Canada,845,573,762,721,517,691,791,639,1025,736,1062,915,1012,828,895,799,855,920,641,
40,,China,15500,15995,16324,15585,15348,16884,16273,17207,17687,30165,7838,18935,18418,,,,,,,
41,,Croatia,63,130,162,132,81,58,99,66,70,68,100,71,143,99,138,101,101,83,121,
42,,Austria,2783,2747,2685,2746,2736,2793,3689,2904,3947,3425,3727,3602,4160,3496,3059,3154,3117,2982,4203,
43,,Belgium,5966,6268,6508,5763,5339,5760,5501,6068,6302,5627,6241,6320,6520,5834,6249,5900,5931,5500,5406,
44,,"Bolivia, Plurinational State of",17,0,73,59,73,59,59,44,0,0,0,0,,,,,,,,
45,,Bosnia and Herzegovina,48,46,45,43,48,54,36,39,41,54,37,51,71,57,61,50,63,59,50,
46,,Luxembourg,25,17,25,24,16,20,18,18,17,24,17,19,25,22,21,26,21,44,82,
47,,Malta,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
48,,Morocco,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,,,,
49,,Netherlands,8044,7465,7436,7776,7146,7247,6289,6205,6510,7018,6023,6169,7255,5020,5869,5029,4684,4587,5235,
50,,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
51,,New Zealand,39,5,38,93,12,14,19,13,25,13,9,23,14,16,46,13,11,9,14,
52,,Italy,3005,2844,3940,4168,4614,3467,3387,3293,3984,3580,3349,3128,3404,3636,3840,4458,4911,5102,3630,
53,,C̫te d'Ivoire,10,5,7,3,5,7,1,2,5,3,,,,,,,,,,
54,,Kazakhstan,0,0,0,108,0,0,0,0,0,0,151,100,96,154,195,298,304,171,288,
55,,Kenya,1,1,0,0,0,1,0,0,1,1,1,0,2,0,1,1,3,0,0,
56,,Kuwait,0,0,0,0,0,0,0,128,0,0,,,,,,,,,,
57,,Guatemala,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
58,,Hungary,467,422,479,416,419,438,433,491,462,395,515,449,573,463,529,414,419,385,402,
59,,Indonesia,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
